=== TigerIngest in application.log ===
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=BNBX, price=0.4602, volume=24500, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=WRNT, price=0.2716, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=WIN, price=0.3403, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=TFPP, price=0.065, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=QVCGA, price=0.34, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=PRXI, price=0.33, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=NBSE, price=0.378, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=MULN, price=0.066, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=MGOL, price=0.37, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=LLAP, price=0.25, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=GORV, price=0.4211, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=BYU, price=0.179, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=BANL, price=0.4036, volume=588500, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=AVGR, price=0.474, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=ASXC, price=0.3479, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=APRI, price=0.2201, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=AMTI, price=0.263, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=ALN, price=0.1396, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=AGTC, price=0.3936, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=ACGN, price=0.38, volume=0, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=KNRX, price=0.4256, volume=33800, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=JUNS, price=0.2351, volume=1405000, date=2026-06-17
